序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
2358,603418,友升股份,58.9,1,0.32,6.33,汽车零部件
2359,603439,三力制药,11.88,1,0.59,0.92,中药
2360,603466,风语筑,10.38,1,3.8,5.01,文化传媒
2361,603486,科沃斯,83.48,1,1.31,1.19,小家电
2362,603489,八方股份,31.3,1,5.78,2.28,电机
2363,603505,金石资源,19.45,1,0.78,1.4,化学制品
2364,603507,振江股份,29.94,1,4.68,9.38,风电设备
2365,603511,爱慕股份,16.33,1,2.58,0.87,服装家纺
2366,603530,神马电力,43.11,1,0.02,1.49,电网设备
2367,603533,掌阅科技,26.59,1,3.87,11.03,文化传媒
2368,603535,嘉诚国际,10.58,1,1.05,1.5,物流
2369,603551,奥普科技,11.5,1,1.05,1.18,厨卫电器
2370,603556,海兴电力,35.55,1,0.48,0.77,电网设备
2371,603585,苏利股份,19.5,1,0.26,2.2,农化制品
2372,603587,地素时尚,13.23,1,1.07,0.78,服装家纺
2373,603605,珀莱雅,69.32,1,0.67,1.0,美容护理
2374,603606,东方电缆,60.9,1,2.54,1.33,电网设备
2375,603609,禾丰股份,7.27,1,0.83,0.45,农产品加工
2376,603611,诺力股份,24.14,1,0.96,1.6,工程机械
2377,603619,中曼石油,24.44,1,6.03,4.84,油气开采及服务
2378,603629,利通电子,29.09,1,2.86,6.03,消费电子
2379,603633,徕木股份,10.32,1,0.39,2.48,汽车零部件
2380,603656,泰禾智能,23.36,1,0.73,1.89,专用设备
2381,603660,苏州科达,11.43,1,2.69,4.8,计算机设备
2382,603662,柯力传感,69.85,1,0.94,2.56,通用设备
2383,603663,三祥新材,36.67,1,1.89,3.29,非金属材料
2384,603667,五洲新春,78.11,1,2.86,17.27,通用设备
2385,603668,天马科技,17.05,1,2.4,4.08,农产品加工
2386,603677,奇精机械,18.13,1,0.44,1.34,白色家电
2387,603679,华体科技,17.97,1,5.15,18.39,光学光电子
2388,603681,永冠新材,19.19,1,1.05,2.75,化学制品
2389,603683,晶华新材,26.78,1,0.87,3.99,化学制品
2390,603699,纽威股份,54.2,1,1.67,0.56,通用设备
2391,603700,宁水集团,13.72,1,0.81,2.08,通用设备
2392,603703,盛洋科技,17.18,1,3.0,29.63,光学光电子
2393,603708,家家悦,12.14,1,2.45,2.1,零售
2394,603709,中源家居,16.97,1,0.83,3.73,家居用品
2395,603716,塞力医疗,27.83,1,4.39,37.26,医药商业
2396,603717,天域生物,7.82,1,0.26,2.48,养殖业
2397,603718,海利生物,6.48,1,0.78,1.92,医疗器械
2398,603725,天安新材,9.43,1,0.32,2.68,家居用品
2399,603727,博迈科,15.0,1,0.94,2.35,油气开采及服务
2400,603728,鸣志电器,73.26,1,1.78,2.8,电机
2401,603739,蔚蓝生物,15.3,1,4.8,4.49,化学制品
2402,603758,秦安股份,17.1,1,0.18,2.1,汽车零部件
2403,603823,百合花,15.94,1,1.46,2.11,化学制品
2404,603826,坤彩科技,17.41,1,0.29,0.52,非金属材料
2405,603829,洛凯股份,23.45,1,1.38,6.73,电网设备
2406,603836,海程邦达,13.75,1,0.37,1.86,物流
2407,603839,安正时尚,8.18,1,0.86,1.51,服装家纺
2408,603855,华荣股份,20.03,1,0.81,1.32,专用设备
2409,603858,步长制药,16.58,1,1.22,0.56,中药
2410,603861,白云电器,13.12,1,0.92,3.26,电网设备
2411,603881,数据港,34.48,1,5.35,9.77,通信服务
2412,603886,元祖股份,13.78,1,1.32,2.89,食品加工制造
2413,603887,城地香江,15.34,1,7.72,5.91,通信服务
2414,603888,新华网,22.24,1,7.91,5.73,文化传媒
2415,603897,长城科技,27.17,1,1.57,2.31,电网设备
2416,603899,晨光股份,27.84,1,2.13,0.77,家居用品
2417,603900,莱绅通灵,8.73,1,1.04,2.22,服装家纺
2418,603908,牧高笛,24.01,1,1.44,1.5,服装家纺
2419,603909,建发合诚,11.53,1,0.79,1.88,建筑装饰
2420,603912,佳力图,8.82,1,1.38,3.78,通用设备
2421,603915,国茂股份,18.1,1,0.56,1.29,通用设备
2422,603917,合力科技,14.52,1,1.25,4.3,汽车零部件
2423,603929,亚翔集成,125.5,1,5.46,3.93,建筑装饰
2424,603937,丽岛新材,12.29,1,0.33,1.54,工业金属
2425,603938,三孚股份,25.28,1,10.01,14.75,化学原料
2426,603939,益丰药房,22.21,1,0.59,0.68,医药商业
2427,603949,雪龙集团,18.74,1,1.46,1.61,汽车零部件
2428,603958,哈森股份,13.3,1,0.08,1.83,服装家纺
2429,603970,中农立华,13.09,1,0.31,1.05,农化制品
2430,603976,正川股份,20.05,1,0.15,0.79,医疗器械
2431,603980,吉华集团,5.13,1,0.39,1.45,化学制品
2432,603987,康德莱,8.92,1,0.11,1.25,医疗器械
2433,603989,艾华集团,17.31,1,1.23,1.92,元件
2434,603990,麦迪科技,15.69,1,3.77,8.97,软件开发
2435,603991,至正股份,77.7,1,3.85,4.43,半导体
2436,603992,松霖科技,42.15,1,6.39,1.57,家居用品
2437,603993,洛阳钼业,22.78,1,5.07,1.48,工业金属
2438,603995,甬金股份,19.19,1,2.08,3.03,钢铁
2439,603998,方盛制药,11.89,1,0.08,2.13,中药
2440,603999,读者传媒,7.42,1,2.63,2.91,文化传媒
2441,605005,合兴股份,18.89,1,0.21,0.6,汽车零部件
2442,605007,五洲特纸,13.46,1,0.98,2.88,造纸
2443,605018,长华集团,11.46,1,0.53,0.68,汽车零部件
2444,605020,永和股份,27.28,1,0.93,1.44,化学制品
2445,605033,美邦股份,20.32,1,0.59,1.62,农化制品
2446,605055,迎丰股份,10.12,1,2.22,2.81,纺织制造
2447,605058,澳弘电子,31.13,1,1.93,1.8,元件
2448,605066,天正电气,7.88,1,4.09,5.79,电网设备
2449,605080,浙江自然,23.5,1,0.09,1.08,家居用品
2450,605090,九丰能源,46.65,1,4.62,6.84,燃气
2451,605098,行动教育,43.33,1,2.48,1.38,教育
2452,605099,共创草坪,36.84,1,1.99,0.48,家居用品
2453,605100,华丰股份,46.25,1,0.22,2.75,通用设备
2454,605111,新洁能,37.35,1,0.75,3.69,半导体
2455,605122,四方新材,12.83,1,1.42,2.57,建筑材料
2456,605133,嵘泰股份,35.15,1,0.95,3.2,汽车零部件
2457,605136,丽人丽妆,11.54,1,1.94,6.44,互联网电商
2458,605138,盛泰集团,7.17,1,1.13,0.61,服装家纺
2459,605151,西上海,19.02,1,0.26,0.88,汽车零部件
2460,605158,华达新材,8.13,1,0.25,0.54,金属新材料
2461,605166,聚合顺,10.61,1,0.19,1.14,化学纤维
2462,605188,国光连锁,22.13,1,6.55,5.98,零售
2463,605196,华通线缆,34.91,1,1.42,2.82,电网设备
2464,605208,永茂泰,13.71,1,0.96,1.91,工业金属
2465,605222,起帆电缆,19.67,1,1.13,2.27,电网设备
2466,605258,协和电子,32.2,1,0.44,2.61,元件
2467,605268,王力安防,10.82,1,1.69,1.21,家居用品
2468,605277,新亚电子,23.06,1,1.41,2.77,消费电子
2469,605286,同力天启,42.71,1,7.26,2.29,专用设备
2470,605296,神农集团,28.89,1,0.07,0.34,养殖业
2471,605299,舒华体育,11.68,1,1.3,2.87,家居用品
2472,605319,无锡振华,22.05,1,3.04,1.87,汽车零部件
2473,605333,沪光股份,32.19,1,3.87,2.92,汽车零部件
2474,605336,帅丰电器,16.73,1,0.48,3.44,厨卫电器
2475,605368,蓝天燃气,7.85,1,0.77,1.07,燃气
2476,605369,拱东医疗,19.72,1,1.13,0.77,医疗器械
2477,605378,野马电池,23.15,1,0.3,1.59,电池
2478,605389,长龄液压,80.79,1,2.27,1.12,工程机械
2479,605488,福莱新材,34.93,1,3.74,5.37,塑料制品
2480,605500,森林包装,8.96,1,0.9,0.97,造纸
2481,605589,圣泉集团,29.94,1,1.42,2.88,塑料制品
2482,688002,睿创微纳,107.07,1,5.07,2.46,军工电子
2483,688003,天准科技,68.8,1,13.36,6.66,自动化设备
2484,688005,容百科技,34.78,1,4.19,6.35,电池
2485,688007,光峰科技,19.11,1,0.79,2.25,消费电子
2486,688015,交控科技,23.8,1,1.36,1.02,轨交设备
2487,688017,绿的谐波,195.7,1,2.46,4.79,自动化设备
2488,688018,乐鑫科技,175.7,1,1.37,3.06,半导体
2489,688020,方邦股份,79.72,1,0.78,5.57,电子化学品
2490,688026,洁特生物,17.03,1,1.79,1.53,医疗器械
2491,688028,沃尔德,70.9,1,8.33,7.64,通用设备
2492,688031,星环科技,162.0,1,15.86,15.55,软件开发
2493,688038,中科通达,19.33,1,4.09,7.03,软件开发
2494,688046,药康生物,17.64,1,4.81,1.29,医疗服务
2495,688048,长光华芯,138.59,1,9.39,13.74,半导体
2496,688050,爱博医疗,64.77,1,0.98,1.57,医疗器械
2497,688051,佳华科技,40.88,1,0.91,1.78,IT服务
2498,688053,ST思科瑞,47.91,1,3.21,6.25,军工电子
2499,688055,龙腾光电,3.72,1,0.54,0.28,光学光电子
2500,688056,莱伯泰科,35.33,1,0.28,0.94,通用设备
2501,688059,华锐精密,82.42,1,0.12,2.35,通用设备
2502,688062,迈威生物,45.77,1,4.26,5.97,生物制品
2503,688065,凯赛生物,55.66,1,2.32,1.17,化学制品
2504,688068,热景生物,205.95,1,7.28,2.56,医疗器械
2505,688071,华依科技,34.99,1,1.27,2.85,专用设备
2506,688073,毕得医药,69.35,1,6.46,3.91,医疗服务
2507,688076,ST诺泰,38.87,1,0.31,1.22,化学制药
2508,688077,大地熊,33.35,1,3.86,5.9,金属新材料
2509,688079,美迪凯,11.83,1,1.11,1.18,光学光电子
2510,688085,三友医疗,18.96,1,1.5,1.13,医疗器械
2511,688088,虹软科技,54.28,1,5.32,3.5,IT服务
2512,688097,博众精工,38.94,1,2.45,1.34,自动化设备
2513,688098,申联生物,9.67,1,1.9,1.58,养殖业
2514,688101,三达膜,17.15,1,0.23,0.98,环境治理
2515,688103,国力电子,68.36,1,2.55,2.62,其他电子
2516,688114,华大智造,75.0,1,10.21,2.72,医疗器械
2517,688117,圣诺生物,44.36,1,7.02,6.63,化学制药
2518,688127,蓝特光学,42.52,1,6.38,2.77,光学光电子
2519,688130,晶华微,22.49,1,1.49,1.93,半导体
2520,688131,皓元医药,82.31,1,5.63,1.92,医疗服务
2521,688136,科兴制药,35.35,1,3.06,2.1,生物制品
2522,688150,莱特光电,28.53,1,3.67,3.33,电子化学品
2523,688153,唯捷创芯,39.9,1,3.1,1.63,半导体
2524,688158,优刻得,30.1,1,2.24,13.07,IT服务
2525,688159,有方科技,53.61,1,2.96,5.98,通信设备
2526,688160,步科股份,147.13,1,5.74,6.53,自动化设备
2527,688162,巨一科技,32.25,1,0.97,1.12,专用设备
2528,688165,埃夫特,23.24,1,1.04,2.36,自动化设备
2529,688166,博瑞医药,54.6,1,2.0,2.08,化学制药
2530,688167,炬光科技,204.17,1,10.54,6.92,半导体
2531,688168,安博通,83.54,1,6.14,3.49,软件开发
2532,688169,石头科技,163.49,1,2.24,1.9,小家电
2533,688170,德龙激光,35.35,1,0.86,4.07,自动化设备
2534,688171,纬德信息,48.48,1,2.0,2.31,软件开发
2535,688177,百奥泰,25.51,1,3.78,0.7,生物制品
2536,688179,阿拉丁,13.49,1,2.9,2.34,化学制品
2537,688180,君实生物,39.2,1,4.09,1.77,生物制品
2538,688185,康希诺,68.69,1,3.28,2.09,生物制品
2539,688190,云路股份,104.0,1,1.37,1.26,金属新材料
2540,688192,迪哲医药,66.79,1,5.26,0.96,化学制药
2541,688197,首药控股,40.54,1,4.24,3.22,化学制药
2542,688201,信安世纪,15.12,1,1.96,3.76,软件开发
2543,688202,美迪西,71.0,1,4.77,4.59,医疗服务
2544,688206,概伦电子,39.75,1,4.96,1.98,软件开发
2545,688208,道通科技,37.4,1,1.77,1.88,计算机设备
2546,688211,中科微至,31.46,1,1.0,0.33,通用设备
2547,688216,气派科技,23.76,1,1.11,1.69,半导体
2548,688219,会通股份,12.59,1,1.78,2.43,塑料制品
2549,688220,翱捷科技,93.45,1,4.43,2.87,半导体
2550,688221,前沿生物,28.15,1,19.99,8.15,化学制药
2551,688222,成都先导,32.52,1,5.76,9.23,医疗服务
2552,688230,芯导科技,78.0,1,2.52,1.94,半导体
2553,688234,天岳先进,92.95,1,0.66,2.08,半导体
2554,688244,永信至诚,26.6,1,4.89,5.49,软件开发
2555,688248,南网科技,50.37,1,4.72,1.15,电力
2556,688252,天德钰,22.69,1,1.29,3.26,半导体
2557,688258,卓易信息,109.9,1,15.56,8.68,IT服务
2558,688265,南模生物,46.87,1,4.39,3.14,医疗服务
2559,688266,泽璟制药,98.8,1,1.59,1.57,化学制药
2560,688271,联影医疗,137.41,1,2.53,0.82,医疗器械
2561,688282,理工导航,78.5,1,12.14,5.24,军工装备
2562,688286,敏芯股份,83.17,1,1.67,3.66,半导体
2563,688287,*ST观典,6.13,1,1.32,1.44,军工装备
2564,688288,鸿泉技术,28.56,1,2.04,2.06,计算机设备
2565,688289,圣湘生物,20.12,1,3.13,1.44,医疗器械
2566,688291,金橙子,47.0,1,4.05,7.04,软件开发
2567,688302,海创药业,54.19,1,2.65,3.18,化学制药
2568,688306,均普智能,11.8,1,0.51,1.56,自动化设备
2569,688307,中润光学,46.27,1,1.47,6.35,光学光电子
2570,688310,迈得医疗,16.13,1,1.13,1.6,自动化设备
2571,688311,盟升电子,54.46,1,0.76,10.05,军工电子
2572,688312,燕麦科技,35.1,1,1.5,2.79,自动化设备
2573,688313,仕佳光子,88.0,1,2.31,6.52,通信设备
2574,688315,诺禾致源,15.0,1,6.01,2.58,医疗服务
2575,688318,财富趋势,144.82,1,1.96,2.1,软件开发
2576,688320,禾川科技,36.91,1,0.9,3.61,自动化设备
2577,688321,微芯生物,34.3,1,7.26,4.81,化学制药
2578,688322,奥比中光,94.08,1,2.26,2.57,光学光电子
2579,688330,宏力达,38.69,1,0.34,1.73,电网设备
2580,688336,三生国健,63.8,1,1.84,0.83,生物制品
2581,688337,普源精电,40.88,1,2.35,2.2,通用设备
2582,688345,博力威,33.45,1,0.84,1.51,电池
2583,688351,微电生理,26.07,1,2.72,6.69,医疗器械
2584,688352,颀中科技,13.41,1,0.6,3.39,半导体
2585,688356,键凯科技,101.0,1,8.57,5.91,化学制药
2586,688357,建龙微纳,35.71,1,4.14,3.04,化学制品
2587,688372,伟测科技,117.2,1,3.35,5.07,半导体
2588,688373,盟科药业,6.73,1,2.43,2.42,化学制药
2589,688380,中微半导,34.77,1,1.49,4.4,半导体
2590,688381,帝奥微,24.13,1,0.5,2.24,半导体
2591,688388,嘉元科技,43.08,1,0.65,4.21,电池
2592,688389,普门科技,13.65,1,1.49,0.94,医疗器械
2593,688410,山外山,16.04,1,1.39,1.34,医疗器械
2594,688428,诺诚健华,22.57,1,3.67,4.04,生物制品
2595,688435,英方软件,50.55,1,3.99,10.97,软件开发
2596,688439,振华风光,67.53,1,2.22,5.3,军工电子
2597,688443,智翔金泰,32.44,1,11.17,9.94,生物制品
2598,688455,科捷智能,21.38,1,5.01,3.27,通用设备
2599,688468,科美诊断,7.85,1,1.68,1.25,医疗器械
2600,688478,晶升股份,40.16,1,1.18,4.29,半导体
2601,688479,友车科技,19.53,1,1.03,1.93,软件开发
2602,688480,赛恩斯,65.89,1,8.52,4.04,环境治理
2603,688488,艾迪药业,17.68,1,2.43,1.87,生物制品
2604,688489,三未信安,46.5,1,1.37,1.22,计算机设备
2605,688498,源杰科技,752.0,1,5.18,6.68,半导体
2606,688499,利元亨,63.6,1,1.45,4.31,电池
2607,688500,慧辰股份,71.96,1,12.77,11.3,IT服务
2608,688506,百利天恒,343.9,1,3.38,0.28,化学制药
2609,688517,金冠电气,16.42,1,0.49,2.9,电网设备
2610,688520,神州细胞,49.16,1,3.0,0.89,生物制品
2611,688526,科前生物,16.09,1,0.5,0.47,养殖业
2612,688529,豪森智能,19.21,1,0.52,0.92,专用设备
2613,688531,日联科技,70.0,1,2.41,3.18,专用设备
2614,688533,上声电子,30.28,1,0.23,1.28,汽车零部件
2615,688536,思瑞浦,174.8,1,0.63,2.82,半导体
2616,688538,和辉光电,2.75,1,1.1,1.53,光学光电子
2617,688568,中科星图,65.91,1,8.05,5.69,IT服务
2618,688571,杭华股份,7.8,1,1.3,1.17,化学制品
2619,688576,西山科技,67.99,1,3.23,3.47,医疗器械
2620,688579,山大地纬,11.58,1,4.32,2.41,软件开发
2621,688588,凌志软件,15.19,1,2.5,2.91,软件开发
2622,688600,皖仪科技,28.9,1,5.28,2.49,通用设备
2623,688601,力芯微,48.76,1,0.39,4.76,半导体
2624,688603,天承科技,87.51,1,8.63,16.94,电子化学品
2625,688606,奥泰生物,65.1,1,0.31,0.86,医疗器械
2626,688608,恒玄科技,235.46,1,0.11,2.89,半导体
2627,688609,九联科技,10.59,1,3.42,3.79,黑色家电
2628,688612,威迈斯,34.21,1,0.94,0.89,汽车零部件
2629,688617,惠泰医疗,265.66,1,4.42,0.84,医疗器械
2630,688621,阳光诺和,77.67,1,6.87,4.8,医疗服务
2631,688623,双元科技,106.22,1,4.31,11.44,自动化设备
2632,688630,芯碁微装,149.08,1,4.93,5.3,专用设备
2633,688633,星球石墨,24.43,1,0.33,0.76,专用设备
2634,688639,华恒生物,36.64,1,4.0,4.5,化学制品
2635,688658,悦康药业,31.79,1,17.13,4.45,化学制药
2636,688659,元琛科技,9.84,1,1.55,1.74,化学制品
2637,688660,电气风电,17.99,1,2.04,2.56,风电设备
2638,688661,和林微纳,72.15,1,2.57,10.0,消费电子
2639,688663,新风光,41.97,1,0.17,2.06,电网设备
2640,688676,金盘科技,88.23,1,2.52,4.05,电网设备
2641,688679,通源环境,27.7,1,7.32,5.97,环境治理
2642,688681,科汇股份,18.5,1,2.55,1.7,电网设备
2643,688687,凯因科技,26.91,1,2.47,3.22,生物制品
2644,688690,纳微科技,27.31,1,1.34,1.17,化学制药
2645,688692,达梦数据,290.02,1,3.76,3.03,软件开发
2646,688693,锴威特,39.2,1,0.82,3.2,半导体
2647,688696,极米科技,109.35,1,1.25,1.74,黑色家电
2648,688698,伟创电气,98.57,1,4.23,3.86,自动化设备
2649,688700,东威科技,37.8,1,0.69,2.44,专用设备
2650,688702,盛科通信,135.43,1,3.94,1.99,半导体
2651,688709,成都华微,50.34,1,2.32,8.76,半导体
2652,688710,益诺思,63.59,1,11.5,5.15,医疗服务
2653,688711,宏微科技,33.85,1,5.22,8.24,半导体
2654,688716,中研股份,42.95,1,1.3,7.05,塑料制品
2655,688728,格科微,16.18,1,1.51,0.67,半导体
2656,688733,壹石通,31.32,1,0.74,4.01,电池
2657,688737,中自科技,24.04,1,3.66,2.66,汽车零部件
2658,688757,胜科纳米,29.05,1,2.04,10.71,其他社会服务
2659,688772,珠海冠宇,21.88,1,1.82,2.08,电池
2660,688776,国光电气,117.0,1,7.34,8.2,军工电子
2661,688778,厦钨新能,81.79,1,1.46,1.53,电池
2662,688779,五矿新能,8.11,1,2.53,3.04,电池
2663,688789,宏华数科,82.86,1,2.59,0.73,专用设备
2664,688796,百奥赛图,59.79,1,6.45,14.04,医疗服务
2665,688799,华纳药厂,51.1,1,2.16,3.9,化学制药
2666,688809,强一股份,367.0,1,13.62,39.07,半导体
2667,688819,天能股份,34.61,1,2.97,0.62,电池
2668,689009,九号公司,56.54,1,0.95,1.6,汽车服务及其他
