concept_code,concept_name,rank,change_pct,hot_value,hot_tag,trade_date
886078,商业航天,1,1.4017,55925.5,连续42天上榜,20251221
885894,海南自贸区,2,5.33,32852.5,连续39天上榜,20251221
885736,无人驾驶,3,1.6644,32839.0,5天5次上榜,20251221
886065,可控核聚变,4,2.8927,25720.5,连续12天上榜,20251221
885517,机器人概念,5,1.3408,17305.0,连续112天上榜,20251221
886069,人形机器人,6,1.2276,10453.5,连续277天上榜,20251221
885939,海峡两岸,7,1.8834,6706.5,连续42天上榜,20251221
886033,共封装光学(CPO),8,-0.3914,6355.5,连续113天上榜,20251221
885728,人工智能,9,1.3206,5082.0,连续28天上榜,20251221
885571,核电,10,2.0407,4978.5,10天8次上榜,20251221
885462,乳业,11,3.7338,4083.5,5天5次上榜,20251221
885898,免税店,12,3.3516,4063.0,5天4次上榜,20251221
886042,存储芯片,13,-0.6441,3967.5,连续66天上榜,20251221
886032,固态电池,14,1.3035,3874.0,连续75天上榜,20251221
885574,卫星导航,15,1.1118,3565.5,5天5次上榜,20251221
885700,军工,16,1.5012,3560.0,10天9次上榜,20251221
886044,液冷服务器,17,0.9169,3296.0,10天9次上榜,20251221
885756,芯片概念,18,0.555,3196.0,连续27天上榜,20251221
886015,创新药,19,1.6487,3009.0,连续147天上榜,20251221
