rank,concept_code,concept_name,change_pct,hot_value,hot_tag
1,886033,共封装光学(CPO),3.7615,677410.0,连续111天上榜
2,886078,商业航天,-0.4697,614413.5,连续40天上榜
3,886044,液冷服务器,3.3492,318161.5,7天6次上榜
4,885894,海南自贸区,-2.0901,256019.5,连续37天上榜
5,886065,可控核聚变,1.5231,152516.0,10天10次上榜
6,885736,无人驾驶,0.7076,140204.5,5天3次上榜
7,886032,固态电池,2.1826,89494.5,连续73天上榜
8,885939,海峡两岸,0.1744,76193.5,连续40天上榜
9,886069,人形机器人,1.3027,71870.5,连续275天上榜
10,886073,铜缆高速连接,3.5469,66099.0,首次上榜
11,885866,数字货币,0.4317,62338.5,5天3次上榜
12,886042,存储芯片,1.8041,60677.0,连续64天上榜
13,885573,猪肉,0.6383,55743.0,7天6次上榜
14,885864,光刻胶,-0.0307,45487.0,连续13天上榜
15,885710,锂电池概念,1.8122,44400.5,连续36天上榜
16,885456,互联网金融,0.5852,39047.5,
17,885699,ST板块,0.2856,38277.0,连续71天上榜
18,885462,乳业,0.6697,36473.5,5天3次上榜
19,886015,创新药,0.8749,34298.5,连续145天上榜
20,885959,PCB概念,2.3195,31388.0,5天3次上榜
