trade_date,short_name,stock_code,close,change_cpt,turnover_ratio,a_net_amount,a_buy_amount,a_sell_amount,a_amount,amount,net_amount_rate,a_amount_rate,reason
2025-12-24,ST中迪,000609,9.15,-1.6129,4.7206,10887874.77,61534106.7,50646231.93,112180338.63,521879954,2.086279552711,21.495429699911,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2025-12-24,中百集团,000759,8.79,-1.3468,37.376,-30663845.5,192659097.5,223322943.0,415982040.5,2237624021,-1.370375237851,18.590345678989,日换手率达到20%的前5只证券
2025-12-24,凯撒旅业,000796,7.84,9.9579,28.9039,26441617.92,287486561.7,261044943.78,548531505.48,2896403952,0.912911954209,18.938363383368,日涨幅偏离值达到7%的前5只证券
2025-12-24,华菱线缆,001208,21.05,6.0988,49.1798,99202835.47,302209509.03,203006673.56,505216182.59,2635643350,3.763894514408,19.16860953854,日换手率达到20%的前5只证券
2025-12-24,胜通能源,001331,34.79,9.9905,4.8909,41337773.33,156223973.5,114886200.17,271110173.67,387820765,10.658989167328,69.906048911538,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-24,楚环科技,001336,28.67,-9.9843,25.9695,-50851870.0,28207082.0,79058952.0,107266034.0,349032518,-14.569378890938,30.732389811313,日跌幅偏离值达到7%的前5只证券
2025-12-24,中材科技,002080,40.36,6.4627,6.3471,155420308.9,2199676987.68,2044256678.78,4243933666.46,11386985303,1.364894260986,37.2700372709,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-24,西部材料,002149,42.0,8.4711,29.9231,28695861.09,562174291.13,533478430.04,1095652721.17,5778726649,0.49657758245,18.960106399212,日振幅值达到15%的前5只证券
2025-12-24,海南发展,002163,19.35,10.0057,15.7747,162166397.58,520726657.53,358560259.95,879286917.48,2410140117,6.728504970983,36.482813230564,日涨幅偏离值达到7%的前5只证券
2025-12-24,宁波东力,002164,15.46,-10.0116,8.5604,-48405669.78,66299063.38,114704733.16,181003796.54,645304605,-7.50121251343,28.049357642504,日跌幅偏离值达到7%的前5只证券
2025-12-24,九鼎新材,002201,10.29,10.0535,3.526,84719312.33,145705645.28,60986332.95,206691978.23,537144847,15.772153973582,38.479747015054,连续三个交易日内，涨幅偏离值累计达到20%的证券
2025-12-24,*ST宇顺,002289,29.66,4.9912,1.2372,-50570237.32,61425544.0,111995781.32,173421325.32,333267525,-15.174066936165,52.03667093576,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2025-12-24,*ST云网,002306,2.03,5.1813,0.795,1098426.0,11295359.0,10196933.0,21492292.0,26433310,4.155461423484,81.307607711634,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2025-12-24,神剑股份,002361,10.88,10.0101,32.1166,34904148.36,283370664.68,248466516.32,531837181.0,2647395140,1.318433649463,20.089074462832,日涨幅偏离值达到7%的前5只证券
